l_leadid,l_source,l_receivedat,l_firstname,l_lastname,l_phone,l_email,l_consentsms,l_consentcall,l_propertyzip,l_leadtype,l_status,o_attempt_id,o_lead_id,o_channel,o_attempted_at,o_status,o_agent_id,error
L-20179,SellFast Direct,2026-05-11 8:40:00,Kevin,Perez,(475) 842-7786,kevin.perez99@example.com,TRUE,TRUE,43215,seller,new,A-1332,L-20179,call,2026-05-11 8:47:00,no_answer,AGT-130,
L-20105,AgentMatch Pro,2026-05-14 7:31:00,John,Perez,+14159857825,john.perez83@example.com,FALSE,TRUE,89108,seller,new,A-1210,L-20105,call,2026-05-14 7:43:00,completed,AGT-126,
L-20105,AgentMatch Pro,2026-05-14 7:31:00,John,Perez,+14159857825,john.perez83@example.com,FALSE,TRUE,89108,seller,new,A-1211,L-20105,call,2026-05-14 9:43:00,completed,AGT-126,
L-20132,LeadBridge,2026-05-09 15:28:00,Tony,Jackson,717.407.9792,tony.jackson27@example.com,TRUE,TRUE,89108,seller,new,A-1230,L-20132,call,2026-05-09 15:37:00,completed,AGT-137,
L-20036,OfferNest,2026-05-15 19:19:00,Daniel,White,403.277.4978,daniel.white16@example.com,FALSE,TRUE,63101,seller,new,A-1074,L-20036,call,2026-05-15 19:29:00,no_answer,AGT-128,
L-20036,OfferNest,2026-05-15 19:19:00,Daniel,White,403.277.4978,daniel.white16@example.com,FALSE,TRUE,63101,seller,new,A-1075,L-20036,call,2026-05-16 2:29:00,completed,AGT-128,
L-20155,AgentMatch Pro,2026-05-08 19:15:00,Megan,Martin,+18765892404,megan.martin11@example.com,FALSE,TRUE,30318,buyer,new,A-1283,L-20155,call,2026-05-08 19:27:00,no_answer,AGT-110,
L-20155,AgentMatch Pro,2026-05-08 19:15:00,Megan,Martin,+18765892404,megan.martin11@example.com,FALSE,TRUE,30318,buyer,new,A-1284,L-20155,sms,2026-05-08 19:35:00,delivered,AGT-110,
L-20095,HomeFlow,2026-05-05 19:23:00,Diana,Clark,2488716438,diana.clark57@example.com,TRUE,TRUE,28269,seller,new,A-1190,L-20095,call,2026-05-05 19:32:00,no_answer,AGT-132,
L-20095,HomeFlow,2026-05-05 19:23:00,Diana,Clark,2488716438,diana.clark57@example.com,TRUE,TRUE,28269,seller,new,A-1191,L-20095,sms,2026-05-05 19:51:00,delivered,AGT-132,
L-20095,HomeFlow,2026-05-05 19:23:00,Diana,Clark,2488716438,diana.clark57@example.com,TRUE,TRUE,28269,seller,new,A-1192,L-20095,call,2026-05-05 21:32:00,no_answer,AGT-132,
L-20028,OfferNest,2026-05-16 13:14:00,Karen,Jones,8719041090,karen.jones67@example.com,TRUE,TRUE,63101,seller,new,A-1059,L-20028,call,2026-05-16 13:17:00,completed,AGT-130,
L-20114,OfferNest,2026-05-12 20:45:00,Chris,Lewis,+16857318487,chris.lewis18@example.com,TRUE,TRUE,75217,seller,new,,,,,,,lead.csv only
L-20090,ListingLoop,2026-05-11 14:39:00,Michael,Johnson,+14936833273,,TRUE,TRUE,85032,seller,new,A-1179,L-20090,call,2026-05-11 14:49:00,no_answer,AGT-139,
L-20090,ListingLoop,2026-05-11 14:39:00,Michael,Johnson,+14936833273,,TRUE,TRUE,85032,seller,new,A-1180,L-20090,sms,2026-05-11 14:55:00,delivered,AGT-139,
L-20151,OfferNest,2026-05-05 16:24:00,Karen,White,+14315072320,karen.white56@example.com,TRUE,TRUE,75217,seller,new,A-1276,L-20151,call,2026-05-05 16:35:00,completed,AGT-131,
L-20104,OfferNest,2026-05-12 17:10:00,John,Jones,840.510.9740,john.jones22@example.com,TRUE,TRUE,75217,seller,new,A-1207,L-20104,call,2026-05-12 17:21:00,voicemail,AGT-103,
L-20104,OfferNest,2026-05-12 17:10:00,John,Jones,840.510.9740,john.jones22@example.com,TRUE,TRUE,75217,seller,new,A-1208,L-20104,sms,2026-05-12 17:24:00,delivered,AGT-103,
L-20104,OfferNest,2026-05-12 17:10:00,John,Jones,840.510.9740,john.jones22@example.com,TRUE,TRUE,75217,seller,new,A-1209,L-20104,call,2026-05-13 0:21:00,no_answer,AGT-103,
L-20071,ListingLoop,2026-05-04 11:38:00,Megan,Brown,620-562-7929,megan.brown65@example.com,TRUE,TRUE,30318,buyer,new,A-1145,L-20071,call,2026-05-04 11:43:00,no_answer,AGT-107,
L-20071,ListingLoop,2026-05-04 11:38:00,Megan,Brown,620-562-7929,megan.brown65@example.com,TRUE,TRUE,30318,buyer,new,A-1146,L-20071,sms,2026-05-04 12:03:00,delivered,AGT-107,
L-20071,ListingLoop,2026-05-04 11:38:00,Megan,Brown,620-562-7929,megan.brown65@example.com,TRUE,TRUE,30318,buyer,new,A-1147,L-20071,call,2026-05-04 19:43:00,completed,AGT-107,
L-20119,OfferNest,2026-05-15 18:32:00,Greg,Lee,+16829532020,greg.lee72@example.com,TRUE,TRUE,89108,buyer,new,,,,,,,lead.csv only
L-20033,OfferNest,2026-05-14 13:08:00,Daniel,Martin,7778781444,daniel.martin34@example.com,FALSE,TRUE,28269,seller,new,A-1069,L-20033,call,2026-05-14 13:17:00,completed,AGT-121,
L-20077,HomeFlow,2026-05-05 13:01:00,Kevin,Anderson,7876147843,kevin.anderson80@example.com,,TRUE,28269,seller,new,A-1156,L-20077,call,2026-05-05 13:09:00,completed,AGT-107,
L-20077,HomeFlow,2026-05-05 13:01:00,Kevin,Anderson,7876147843,kevin.anderson80@example.com,,TRUE,28269,seller,new,A-1157,L-20077,call,2026-05-05 16:09:00,completed,AGT-107,
L-20160,HomeFlow,2026-05-09 16:44:00,Matt,Hernandez,640-866-3230,matt.hernandez41@example.com,TRUE,TRUE,43215,seller,new,A-1293,L-20160,sms,2026-05-09 16:56:00,failed_err30006_landline,AGT-119,
L-20160,HomeFlow,2026-05-09 16:44:00,Matt,Hernandez,640-866-3230,matt.hernandez41@example.com,TRUE,TRUE,43215,seller,new,A-1294,L-20160,sms,2026-05-09 17:03:00,failed_err30006_landline,AGT-119,
L-20160,HomeFlow,2026-05-09 16:44:00,Matt,Hernandez,640-866-3230,matt.hernandez41@example.com,TRUE,TRUE,43215,seller,new,A-1295,L-20160,sms,2026-05-09 17:10:00,failed_err30006_landline,AGT-119,
L-20184,AgentMatch Pro,2026-05-14 14:00:00,David,Taylor,+12793354705,,TRUE,TRUE,78704,buyer,new,A-1337,L-20184,call,2026-05-14 14:04:00,no_answer,AGT-131,
L-20009,AgentMatch Pro,2026-05-09 14:01:00,Greg,Garcia,752-743-1009,greg.garcia40@example.com,TRUE,TRUE,63101,seller,new,A-1018,L-20009,call,2026-05-09 14:12:00,completed,AGT-106,
L-20195,LeadBridge,2026-05-11 12:24:00,Diana,Hall,(212) 450-1753,diana.hall23@example.com,TRUE,TRUE,32801,buyer,new,A-1357,L-20195,call,2026-05-11 15:31:00,completed,AGT-121,
L-20170,AgentMatch Pro,2026-05-06 17:45:00,Kevin,Brown,556.560.8501,kevin.brown79@example.com,TRUE,TRUE,78704,seller,new,A-1321,L-20170,sms,2026-05-06 17:48:00,failed_err30006_landline,AGT-121,
L-20170,AgentMatch Pro,2026-05-06 17:45:00,Kevin,Brown,556.560.8501,kevin.brown79@example.com,TRUE,TRUE,78704,seller,new,A-1322,L-20170,sms,2026-05-06 17:55:00,failed_err30006_landline,AGT-121,
L-20171,AgentMatch Pro,2026-05-10 13:38:00,Lisa,Brown,3875823316,lisa.brown50@example.com,TRUE,TRUE,30318,buyer,new,A-1323,L-20171,sms,2026-05-10 13:50:00,failed_err30006_landline,AGT-135,
L-20171,AgentMatch Pro,2026-05-10 13:38:00,Lisa,Brown,3875823316,lisa.brown50@example.com,TRUE,TRUE,30318,buyer,new,A-1324,L-20171,sms,2026-05-10 13:57:00,failed_err30006_landline,AGT-135,
L-20002,ListingLoop,2026-05-14 18:34:00,Karen,Moore,(816) 227-4257,karen.moore36@example.com,TRUE,TRUE,30318,buyer,new,A-1002,L-20002,call,2026-05-14 18:41:00,completed,AGT-118,
L-20173,SellFast Direct,2026-05-14 14:26:00,Tony,Wilson,7757179109,tony.wilson57@example.com,TRUE,TRUE,30318,seller,new,A-1326,L-20173,call,2026-05-14 14:37:00,no_answer,AGT-102,
L-20206,LeadBridge,2026-05-11 9:02:00,David,Young,391-481-5585,david.young79@example.com,TRUE,TRUE,37211,buyer,new,A-1377,L-20206,call,2026-05-11 12:57:00,no_answer,AGT-136,
L-20206,LeadBridge,2026-05-11 9:02:00,David,Young,391-481-5585,david.young79@example.com,TRUE,TRUE,37211,buyer,new,A-1378,L-20206,sms,2026-05-11 13:02:00,delivered,AGT-136,
L-20206,LeadBridge,2026-05-11 9:02:00,David,Young,391-481-5585,david.young79@example.com,TRUE,TRUE,37211,buyer,new,A-1379,L-20206,call,2026-05-11 15:57:00,no_answer,AGT-136,
L-20107,OfferNest,2026-05-15 7:32:00,Jessica,Brown,(526) 447-8642,jessica.brown19@example.com,TRUE,TRUE,63101,seller,new,,,,,,,lead.csv only
L-20138,LeadBridge,2026-05-07 19:55:00,Karen,Harris,245.611.8191,karen.harris18@example.com,TRUE,TRUE,37211,seller,new,A-1243,L-20138,call,2026-05-07 20:00:00,voicemail,AGT-120,
L-20138,LeadBridge,2026-05-07 19:55:00,Karen,Harris,245.611.8191,karen.harris18@example.com,TRUE,TRUE,37211,seller,new,A-1244,L-20138,sms,2026-05-07 20:19:00,delivered,AGT-120,
L-20138,LeadBridge,2026-05-07 19:55:00,Karen,Harris,245.611.8191,karen.harris18@example.com,TRUE,TRUE,37211,seller,new,A-1245,L-20138,call,2026-05-08 0:00:00,completed,AGT-120,
L-20120,OfferNest,2026-05-14 17:11:00,Matt,Young,+17455509950,matt.young93@example.com,TRUE,TRUE,75217,buyer,new,,,,,,,lead.csv only
L-20178,ListingLoop,2026-05-06 18:55:00,Michael,Clark,+16212605543,michael.clark19@example.com,TRUE,TRUE,85032,buyer,new,A-1331,L-20178,call,2026-05-06 19:04:00,no_answer,AGT-110,
L-20059,LeadBridge,2026-05-14 10:39:00,Rachel,Taylor,493-435-6772,rachel.taylor99@example.com,TRUE,TRUE,78704,seller,new,A-1121,L-20059,call,2026-05-14 10:45:00,completed,AGT-129,
L-20112,OfferNest,2026-05-12 3:24:00,Brian,Thomas,(982) 763-5582,brian.thomas79@example.com,FALSE,TRUE,30318,seller,new,,,,,,,lead.csv only
L-20035,HomeFlow,2026-05-06 16:38:00,Kevin,Miller,+16769165198,kevin.miller21@example.com,,TRUE,78704,seller,new,A-1073,L-20035,call,2026-05-06 16:44:00,no_answer,AGT-137,
L-20087,ListingLoop,2026-05-13 14:29:00,Laura,Lewis,680.398.7026,laura.lewis65@example.com,TRUE,TRUE,43215,seller,new,A-1174,L-20087,call,2026-05-13 14:34:00,completed,AGT-139,
L-20108,OfferNest,2026-05-15 11:55:00,Ashley,Anderson,454-363-6364,ashley.anderson25@example.com,,TRUE,89108,buyer,new,,,,,,,lead.csv only
L-20032,HomeFlow,2026-05-10 14:01:00,Ashley,Allen,425-699-4595,ashley.allen52@example.com,TRUE,TRUE,89108,seller,new,A-1068,L-20032,call,2026-05-10 14:12:00,completed,AGT-135,
L-20106,OfferNest,2026-05-15 19:30:00,Matt,Miller,+15488213353,matt.miller94@example.com,TRUE,TRUE,43215,seller,new,,,,,,,lead.csv only
L-20011,OfferNest,2026-05-09 7:37:00,Brian,Thomas,(323) 453-4681,brian.thomas1@example.com,TRUE,TRUE,63101,seller,new,A-1021,L-20011,call,2026-05-09 7:40:00,voicemail,AGT-103,
L-20011,OfferNest,2026-05-09 7:37:00,Brian,Thomas,(323) 453-4681,brian.thomas1@example.com,TRUE,TRUE,63101,seller,new,A-1022,L-20011,sms,2026-05-09 7:45:00,delivered,AGT-103,
L-20011,OfferNest,2026-05-09 7:37:00,Brian,Thomas,(323) 453-4681,brian.thomas1@example.com,TRUE,TRUE,63101,seller,new,A-1023,L-20011,call,2026-05-09 11:40:00,no_answer,AGT-103,
L-20027,LeadBridge,2026-05-14 11:14:00,Megan,Perez,834-543-2530,megan.perez6@example.com,FALSE,TRUE,89108,seller,new,A-1057,L-20027,call,2026-05-14 11:23:00,voicemail,AGT-127,
L-20027,LeadBridge,2026-05-14 11:14:00,Megan,Perez,834-543-2530,megan.perez6@example.com,FALSE,TRUE,89108,seller,new,A-1058,L-20027,call,2026-05-14 19:23:00,no_answer,AGT-127,
L-20102,ListingLoop,2026-05-15 14:33:00,Paul,Williams,(267) 516-7523,paul.williams74@example.com,TRUE,TRUE,30318,seller,new,A-1201,L-20102,call,2026-05-15 14:45:00,no_answer,AGT-105,
L-20102,ListingLoop,2026-05-15 14:33:00,Paul,Williams,(267) 516-7523,paul.williams74@example.com,TRUE,TRUE,30318,seller,new,A-1202,L-20102,sms,2026-05-15 15:04:00,delivered,AGT-105,
L-20102,ListingLoop,2026-05-15 14:33:00,Paul,Williams,(267) 516-7523,paul.williams74@example.com,TRUE,TRUE,30318,seller,new,A-1203,L-20102,call,2026-05-15 22:45:00,no_answer,AGT-105,
L-20025,ListingLoop,2026-05-10 12:25:00,Rachel,Allen,5077196067,rachel.allen25@example.com,TRUE,TRUE,43215,seller,new,A-1055,L-20025,call,2026-05-10 12:36:00,completed,AGT-137,
L-20004,OfferNest,2026-05-10 11:29:00,Megan,Davis,+14962814814,megan.davis48@example.com,TRUE,TRUE,85032,seller,new,A-1006,L-20004,call,2026-05-10 11:41:00,no_answer,AGT-105,
L-20004,OfferNest,2026-05-10 11:29:00,Megan,Davis,+14962814814,megan.davis48@example.com,TRUE,TRUE,85032,seller,new,A-1007,L-20004,sms,2026-05-10 11:49:00,delivered,AGT-105,
L-20004,OfferNest,2026-05-10 11:29:00,Megan,Davis,+14962814814,megan.davis48@example.com,TRUE,TRUE,85032,seller,new,A-1008,L-20004,call,2026-05-10 14:41:00,completed,AGT-105,
L-20055,ListingLoop,2026-05-15 19:31:00,Diana,Thompson,(746) 589-6188,,FALSE,TRUE,85032,seller,new,A-1112,L-20055,call,2026-05-15 19:36:00,no_answer,AGT-106,
L-20055,ListingLoop,2026-05-15 19:31:00,Diana,Thompson,(746) 589-6188,,FALSE,TRUE,85032,seller,new,A-1113,L-20055,call,2026-05-15 22:36:00,no_answer,AGT-106,
L-20186,HomeFlow,2026-05-15 10:40:00,James,Lee,865.368.8210,james.lee53@example.com,TRUE,TRUE,89108,seller,new,A-1339,L-20186,call,2026-05-15 10:43:00,no_answer,AGT-107,
L-20054,SellFast Direct,2026-05-04 18:09:00,Linda,Hall,(650) 302-9617,linda.hall20@example.com,TRUE,TRUE,89108,seller,new,A-1110,L-20054,call,2026-05-04 18:16:00,no_answer,AGT-140,
L-20054,SellFast Direct,2026-05-04 18:09:00,Linda,Hall,(650) 302-9617,linda.hall20@example.com,TRUE,TRUE,89108,seller,new,A-1111,L-20054,sms,2026-05-04 18:21:00,delivered,AGT-140,
L-20191,LeadBridge,2026-05-10 16:40:00,Heather,Miller,(359) 749-6353,heather.miller84@example.com,TRUE,TRUE,37211,buyer,new,A-1349,L-20191,call,2026-05-10 21:56:00,completed,AGT-116,
L-20078,LeadBridge,2026-05-05 15:40:00,Lisa,Harris,+15474266456,lisa.harris45@example.com,TRUE,TRUE,30318,seller,new,A-1158,L-20078,call,2026-05-05 15:43:00,completed,AGT-110,
L-20067,LeadBridge,2026-05-08 7:08:00,Laura,Davis,(802) 531-1258,laura.davis96@example.com,TRUE,TRUE,89108,buyer,new,A-1134,L-20067,call,2026-05-08 7:15:00,no_answer,AGT-133,
L-20067,LeadBridge,2026-05-08 7:08:00,Laura,Davis,(802) 531-1258,laura.davis96@example.com,TRUE,TRUE,89108,buyer,new,A-1135,L-20067,sms,2026-05-08 7:32:00,delivered,AGT-133,
L-20067,LeadBridge,2026-05-08 7:08:00,Laura,Davis,(802) 531-1258,laura.davis96@example.com,TRUE,TRUE,89108,buyer,new,A-1136,L-20067,call,2026-05-08 13:15:00,completed,AGT-133,
L-20128,OfferNest,2026-05-09 9:00:00,James,Harris,5455024164,james.harris52@example.com,TRUE,TRUE,32801,seller,new,A-1220,L-20128,call,2026-05-09 9:03:00,no_answer,AGT-126,
L-20128,OfferNest,2026-05-09 9:00:00,James,Harris,5455024164,james.harris52@example.com,TRUE,TRUE,32801,seller,new,A-1221,L-20128,sms,2026-05-09 9:11:00,delivered,AGT-126,
L-20081,AgentMatch Pro,2026-05-14 10:20:00,Kevin,Jackson,9562428368,kevin.jackson8@example.com,TRUE,TRUE,78704,seller,new,A-1163,L-20081,call,2026-05-14 10:23:00,no_answer,AGT-133,
L-20081,AgentMatch Pro,2026-05-14 10:20:00,Kevin,Jackson,9562428368,kevin.jackson8@example.com,TRUE,TRUE,78704,seller,new,A-1164,L-20081,sms,2026-05-14 10:27:00,delivered,AGT-133,
L-20081,AgentMatch Pro,2026-05-14 10:20:00,Kevin,Jackson,9562428368,kevin.jackson8@example.com,TRUE,TRUE,78704,seller,new,A-1165,L-20081,call,2026-05-14 15:23:00,no_answer,AGT-133,
L-20099,SellFast Direct,2026-05-12 13:58:00,Karen,Brown,2269534048,karen.brown34@example.com,TRUE,TRUE,85032,seller,new,A-1198,L-20099,call,2026-05-12 14:07:00,completed,AGT-113,
L-20101,OfferNest,2026-05-07 19:08:00,Eric,Garcia,570.720.4673,eric.garcia47@example.com,TRUE,TRUE,75217,seller,new,A-1200,L-20101,call,2026-05-07 19:17:00,completed,AGT-136,
L-20075,OfferNest,2026-05-07 13:38:00,Megan,Martin,698-739-6053,megan.martin28@example.com,TRUE,TRUE,37211,seller,new,A-1153,L-20075,call,2026-05-07 13:45:00,completed,AGT-108,
L-20065,ListingLoop,2026-05-07 17:40:00,John,Miller,+13256652501,,TRUE,TRUE,85032,seller,new,A-1131,L-20065,call,2026-05-07 17:51:00,completed,AGT-114,
L-20147,LeadBridge,2026-05-17 1:22:00,Greg,Walker,(700) 940-9037,greg.walker83@example.com,TRUE,TRUE,32801,seller,new,A-1268,L-20147,call,2026-05-17 1:26:00,completed,AGT-101,
L-20116,OfferNest,2026-05-11 13:23:00,Chris,Thompson,(312) 626-6040,chris.thompson89@example.com,FALSE,TRUE,75217,buyer,new,,,,,,,lead.csv only
L-20066,LeadBridge,2026-05-09 19:09:00,Greg,Jackson,412-800-4538,greg.jackson36@example.com,FALSE,TRUE,30318,seller,new,A-1132,L-20066,call,2026-05-09 19:13:00,no_answer,AGT-108,
L-20066,LeadBridge,2026-05-09 19:09:00,Greg,Jackson,412-800-4538,greg.jackson36@example.com,FALSE,TRUE,30318,seller,new,A-1133,L-20066,call,2026-05-09 21:13:00,completed,AGT-108,
L-20188,LeadBridge,2026-05-12 16:32:00,Scott,Smith,+18745084366,scott.smith51@example.com,TRUE,TRUE,63101,seller,new,A-1342,L-20188,call,2026-05-12 20:48:00,completed,AGT-125,
L-20157,AgentMatch Pro,2026-05-13 19:20:00,Linda,Smith,+12915622524,linda.smith2@example.com,,TRUE,43215,buyer,new,A-1287,L-20157,call,2026-05-13 19:23:00,no_answer,AGT-136,
L-20157,AgentMatch Pro,2026-05-13 19:20:00,Linda,Smith,+12915622524,linda.smith2@example.com,,TRUE,43215,buyer,new,A-1288,L-20157,sms,2026-05-13 19:28:00,delivered,AGT-136,
L-20053,AgentMatch Pro,2026-05-10 10:54:00,Chris,Hall,3939144912,,TRUE,TRUE,43215,buyer,new,A-1107,L-20053,call,2026-05-10 11:06:00,no_answer,AGT-110,
L-20053,AgentMatch Pro,2026-05-10 10:54:00,Chris,Hall,3939144912,,TRUE,TRUE,43215,buyer,new,A-1108,L-20053,sms,2026-05-10 11:10:00,delivered,AGT-110,
L-20053,AgentMatch Pro,2026-05-10 10:54:00,Chris,Hall,3939144912,,TRUE,TRUE,43215,buyer,new,A-1109,L-20053,call,2026-05-10 17:06:00,completed,AGT-110,
L-20012,LeadBridge,2026-05-16 14:51:00,David,Jackson,3359408744,david.jackson85@example.com,TRUE,TRUE,28269,buyer,new,A-1024,L-20012,call,2026-05-16 14:59:00,voicemail,AGT-130,
L-20012,LeadBridge,2026-05-16 14:51:00,David,Jackson,3359408744,david.jackson85@example.com,TRUE,TRUE,28269,buyer,new,A-1025,L-20012,sms,2026-05-16 15:03:00,delivered,AGT-130,
L-20012,LeadBridge,2026-05-16 14:51:00,David,Jackson,3359408744,david.jackson85@example.com,TRUE,TRUE,28269,buyer,new,A-1026,L-20012,call,2026-05-16 21:59:00,completed,AGT-130,
L-20022,HomeFlow,2026-05-06 19:44:00,Emily,Lewis,885-952-5065,emily.lewis61@example.com,TRUE,TRUE,85032,buyer,new,A-1047,L-20022,call,2026-05-06 19:51:00,voicemail,AGT-120,
L-20022,HomeFlow,2026-05-06 19:44:00,Emily,Lewis,885-952-5065,emily.lewis61@example.com,TRUE,TRUE,85032,buyer,new,A-1048,L-20022,sms,2026-05-06 20:01:00,delivered,AGT-120,
L-20022,HomeFlow,2026-05-06 19:44:00,Emily,Lewis,885-952-5065,emily.lewis61@example.com,TRUE,TRUE,85032,buyer,new,A-1049,L-20022,call,2026-05-07 2:51:00,completed,AGT-120,
L-20103,SellFast Direct,2026-05-12 7:53:00,Eric,Martin,386-986-3114,eric.martin22@example.com,TRUE,TRUE,28269,seller,new,A-1204,L-20103,call,2026-05-12 8:00:00,voicemail,AGT-134,
L-20103,SellFast Direct,2026-05-12 7:53:00,Eric,Martin,386-986-3114,eric.martin22@example.com,TRUE,TRUE,28269,seller,new,A-1205,L-20103,sms,2026-05-12 8:05:00,delivered,AGT-134,
L-20103,SellFast Direct,2026-05-12 7:53:00,Eric,Martin,386-986-3114,eric.martin22@example.com,TRUE,TRUE,28269,seller,new,A-1206,L-20103,call,2026-05-12 15:00:00,no_answer,AGT-134,
L-20176,LeadBridge,2026-05-07 19:47:00,John,Lopez,289.649.2923,john.lopez45@example.com,TRUE,TRUE,43215,seller,new,A-1329,L-20176,call,2026-05-07 19:58:00,no_answer,AGT-109,
L-20031,SellFast Direct,2026-05-16 16:44:00,Matt,Anderson,2634117883,matt.anderson74@example.com,TRUE,TRUE,89108,seller,new,A-1065,L-20031,call,2026-05-16 16:51:00,no_answer,AGT-120,
L-20031,SellFast Direct,2026-05-16 16:44:00,Matt,Anderson,2634117883,matt.anderson74@example.com,TRUE,TRUE,89108,seller,new,A-1066,L-20031,sms,2026-05-16 17:07:00,delivered,AGT-120,
L-20031,SellFast Direct,2026-05-16 16:44:00,Matt,Anderson,2634117883,matt.anderson74@example.com,TRUE,TRUE,89108,seller,new,A-1067,L-20031,call,2026-05-16 23:51:00,no_answer,AGT-120,
L-20115,OfferNest,2026-05-13 2:25:00,Ashley,Harris,506.807.6511,ashley.harris63@example.com,TRUE,TRUE,37211,buyer,new,,,,,,,lead.csv only
L-20043,SellFast Direct,2026-05-05 16:40:00,Diana,Taylor,+13162667565,diana.taylor73@example.com,TRUE,TRUE,78704,seller,new,A-1086,L-20043,call,2026-05-05 16:43:00,no_answer,AGT-136,
L-20043,SellFast Direct,2026-05-05 16:40:00,Diana,Taylor,+13162667565,diana.taylor73@example.com,TRUE,TRUE,78704,seller,new,A-1087,L-20043,sms,2026-05-05 16:53:00,delivered,AGT-136,
L-20122,OfferNest,2026-05-15 2:35:00,Heather,Young,9384805715,heather.young49@example.com,TRUE,TRUE,28269,seller,new,,,,,,,lead.csv only
L-20172,LeadBridge,2026-05-09 14:39:00,Jessica,Garcia,+17014953298,,TRUE,TRUE,63101,buyer,new,A-1325,L-20172,call,2026-05-09 14:43:00,no_answer,AGT-113,
L-20014,LeadBridge,2026-05-10 14:30:00,Jessica,Walker,215-295-4872,jessica.walker8@example.com,TRUE,TRUE,43215,seller,new,A-1028,L-20014,call,2026-05-10 14:38:00,voicemail,AGT-117,
L-20014,LeadBridge,2026-05-10 14:30:00,Jessica,Walker,215-295-4872,jessica.walker8@example.com,TRUE,TRUE,43215,seller,new,A-1029,L-20014,sms,2026-05-10 14:55:00,delivered,AGT-117,
L-20014,LeadBridge,2026-05-10 14:30:00,Jessica,Walker,215-295-4872,jessica.walker8@example.com,TRUE,TRUE,43215,seller,new,A-1030,L-20014,call,2026-05-10 21:38:00,no_answer,AGT-117,
L-20093,AgentMatch Pro,2026-05-15 19:21:00,Robert,Lopez,446-950-2698,robert.lopez44@example.com,TRUE,TRUE,89108,buyer,new,A-1187,L-20093,call,2026-05-15 19:33:00,voicemail,AGT-112,
L-20093,AgentMatch Pro,2026-05-15 19:21:00,Robert,Lopez,446-950-2698,robert.lopez44@example.com,TRUE,TRUE,89108,buyer,new,A-1188,L-20093,sms,2026-05-15 19:38:00,delivered,AGT-112,
L-20096,HomeFlow,2026-05-09 8:05:00,Robert,Anderson,816.384.9937,robert.anderson58@example.com,TRUE,TRUE,43215,seller,new,A-1193,L-20096,call,2026-05-09 8:14:00,no_answer,AGT-123,
L-20096,HomeFlow,2026-05-09 8:05:00,Robert,Anderson,816.384.9937,robert.anderson58@example.com,TRUE,TRUE,43215,seller,new,A-1194,L-20096,sms,2026-05-09 8:28:00,delivered,AGT-123,
